"phase","tier","family","design_case_id","analysis_case_id","chunk_id","replicate_start","replicate_end","seed"
"generate_design","short","t","t-one-dpoint-0-short",NA,1,1,1000,21262008
"generate_design","short","t","t-one-dpoint-0-short",NA,2,1001,2000,22262011
"generate_design","short","t","t-one-dpoint-0-short",NA,3,2001,3000,23262014
"generate_design","short","t","t-one-dpoint-0-short",NA,4,3001,4000,24262017
"generate_design","short","t","t-one-dpoint-0-short",NA,5,4001,5000,25262020
"generate_design","short","t","t-one-dpoint-0-short",NA,6,5001,6000,26262023
"generate_design","short","t","t-one-dpoint-0-short",NA,7,6001,7000,27262026
"generate_design","short","t","t-one-dpoint-0-short",NA,8,7001,8000,28262029
"generate_design","short","t","t-one-dpoint-0-short",NA,9,8001,9000,29262032
"generate_design","short","t","t-one-dpoint-0-short",NA,10,9001,10000,30262035
"generate_design","short","t","t-one-dpoint-0p5-short",NA,1,1,1000,21262009
"generate_design","short","t","t-one-dpoint-0p5-short",NA,2,1001,2000,22262012
"generate_design","short","t","t-one-dpoint-0p5-short",NA,3,2001,3000,23262015
"generate_design","short","t","t-one-dpoint-0p5-short",NA,4,3001,4000,24262018
"generate_design","short","t","t-one-dpoint-0p5-short",NA,5,4001,5000,25262021
"generate_design","short","t","t-one-dpoint-0p5-short",NA,6,5001,6000,26262024
"generate_design","short","t","t-one-dpoint-0p5-short",NA,7,6001,7000,27262027
"generate_design","short","t","t-one-dpoint-0p5-short",NA,8,7001,8000,28262030
"generate_design","short","t","t-one-dpoint-0p5-short",NA,9,8001,9000,29262033
"generate_design","short","t","t-one-dpoint-0p5-short",NA,10,9001,10000,30262036
"generate_design","short","t","t-paired-dpoint-0-short",NA,1,1,1000,21262010
"generate_design","short","t","t-paired-dpoint-0-short",NA,2,1001,2000,22262013
"generate_design","short","t","t-paired-dpoint-0-short",NA,3,2001,3000,23262016
"generate_design","short","t","t-paired-dpoint-0-short",NA,4,3001,4000,24262019
"generate_design","short","t","t-paired-dpoint-0-short",NA,5,4001,5000,25262022
"generate_design","short","t","t-paired-dpoint-0-short",NA,6,5001,6000,26262025
"generate_design","short","t","t-paired-dpoint-0-short",NA,7,6001,7000,27262028
"generate_design","short","t","t-paired-dpoint-0-short",NA,8,7001,8000,28262031
"generate_design","short","t","t-paired-dpoint-0-short",NA,9,8001,9000,29262034
"generate_design","short","t","t-paired-dpoint-0-short",NA,10,9001,10000,30262037
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,1,1,1000,21262011
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,2,1001,2000,22262014
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,3,2001,3000,23262017
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,4,3001,4000,24262020
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,5,4001,5000,25262023
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,6,5001,6000,26262026
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,7,6001,7000,27262029
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,8,7001,8000,28262032
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,9,8001,9000,29262035
"generate_design","short","t","t-paired-dpoint-0p5-short",NA,10,9001,10000,30262038
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,1,1,1000,21262012
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,2,1001,2000,22262015
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,3,2001,3000,23262018
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,4,3001,4000,24262021
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,5,4001,5000,25262024
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,6,5001,6000,26262027
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,7,6001,7000,27262030
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,8,7001,8000,28262033
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,9,8001,9000,29262036
"generate_design","adversarial","t","t-two-dpoint-m0p4-short",NA,10,9001,10000,30262039
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,1,1,1000,21262013
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,2,1001,2000,22262016
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,3,2001,3000,23262019
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,4,3001,4000,24262022
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,5,4001,5000,25262025
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,6,5001,6000,26262028
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,7,6001,7000,27262031
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,8,7001,8000,28262034
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,9,8001,9000,29262037
"generate_design","adversarial","t","t-two-dpoint-0-n2x1p1-short",NA,10,9001,10000,30262040
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,1,1,1000,21262014
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,2,1001,2000,22262017
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,3,2001,3000,23262020
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,4,3001,4000,24262023
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,5,4001,5000,25262026
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,6,5001,6000,26262029
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,7,6001,7000,27262032
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,8,7001,8000,28262035
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,9,8001,9000,29262038
"generate_design","adversarial","t","t-two-dpoint-0p35-n2x1p1-short",NA,10,9001,10000,30262041
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,1,1,1000,21262015
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,2,1001,2000,22262018
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,3,2001,3000,23262021
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,4,3001,4000,24262024
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,5,4001,5000,25262027
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,6,5001,6000,26262030
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,7,6001,7000,27262033
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,8,7001,8000,28262036
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,9,8001,9000,29262039
"generate_design","adversarial","t","t-two-dnorm-0-s0p5-short",NA,10,9001,10000,30262042
"generate_design","long","t","t-two-dpoint-0-long",NA,1,1,1000,21262016
"generate_design","long","t","t-two-dpoint-0-long",NA,2,1001,2000,22262019
"generate_design","long","t","t-two-dpoint-0-long",NA,3,2001,3000,23262022
"generate_design","long","t","t-two-dpoint-0-long",NA,4,3001,4000,24262025
"generate_design","long","t","t-two-dpoint-0-long",NA,5,4001,5000,25262028
"generate_design","long","t","t-two-dpoint-0-long",NA,6,5001,6000,26262031
"generate_design","long","t","t-two-dpoint-0-long",NA,7,6001,7000,27262034
"generate_design","long","t","t-two-dpoint-0-long",NA,8,7001,8000,28262037
"generate_design","long","t","t-two-dpoint-0-long",NA,9,8001,9000,29262040
"generate_design","long","t","t-two-dpoint-0-long",NA,10,9001,10000,30262043
"generate_design","long","t","t-two-dpoint-0p2-long",NA,1,1,1000,21262017
"generate_design","long","t","t-two-dpoint-0p2-long",NA,2,1001,2000,22262020
"generate_design","long","t","t-two-dpoint-0p2-long",NA,3,2001,3000,23262023
"generate_design","long","t","t-two-dpoint-0p2-long",NA,4,3001,4000,24262026
"generate_design","long","t","t-two-dpoint-0p2-long",NA,5,4001,5000,25262029
"generate_design","long","t","t-two-dpoint-0p2-long",NA,6,5001,6000,26262032
"generate_design","long","t","t-two-dpoint-0p2-long",NA,7,6001,7000,27262035
"generate_design","long","t","t-two-dpoint-0p2-long",NA,8,7001,8000,28262038
"generate_design","long","t","t-two-dpoint-0p2-long",NA,9,8001,9000,29262041
"generate_design","long","t","t-two-dpoint-0p2-long",NA,10,9001,10000,30262044
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,1,1,1000,21262018
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,2,1001,2000,22262021
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,3,2001,3000,23262024
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,4,3001,4000,24262027
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,5,4001,5000,25262030
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,6,5001,6000,26262033
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,7,6001,7000,27262036
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,8,7001,8000,28262039
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,9,8001,9000,29262042
"generate_design","long","t","t-two-dnorm-0p2-s0p1-long",NA,10,9001,10000,30262045
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,1,1,1000,21262019
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,2,1001,2000,22262022
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,3,2001,3000,23262025
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,4,3001,4000,24262028
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,5,4001,5000,25262031
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,6,5001,6000,26262034
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,7,6001,7000,27262037
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,8,7001,8000,28262040
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,9,8001,9000,29262043
"generate_design","long","t","t-two-dnorm-0p2-s0p5-long",NA,10,9001,10000,30262046
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,1,1,1000,21263004
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,2,1001,2000,22263007
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,3,2001,3000,23263010
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,4,3001,4000,24263013
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,5,4001,5000,25263016
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,6,5001,6000,26263019
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,7,6001,7000,27263022
"generate_design","short","binomial","binom-dpoint-0p5-short",NA,8,7001,8000,28263025
